,loan_amnt,int_rate,annual_inc,loan_status,open_acc,open_il_12m,Charged_Off
812403,21325,17.27,96204.0,Charged Off,6.0,1.0,0
1241770,9600,12.69,84000.0,Fully Paid,24.0,,0
1950479,7125,24.08,66000.0,Fully Paid,8.0,,0
1356094,40000,5.32,265000.0,Current,18.0,1.0,0
849441,6300,12.74,75500.0,Current,8.0,1.0,0
517719,1200,8.99,80000.0,Current,5.0,0.0,0
35630,9800,14.47,15612.0,Current,5.0,0.0,0
1082409,10000,5.32,63000.0,Fully Paid,11.0,,0
1920114,7800,16.99,35000.0,Fully Paid,6.0,,0
724364,12000,11.47,36000.0,Current,3.0,0.0,0
2226854,14000,7.35,110000.0,Fully Paid,5.0,0.0,0
367053,20000,10.41,161000.0,Current,28.0,0.0,0
1726496,10025,15.88,115000.0,Fully Paid,11.0,,0
1062576,19200,13.99,42000.0,Charged Off,7.0,,0
1862025,18000,12.69,80000.0,Fully Paid,20.0,,0
1814045,7000,11.14,90000.0,Fully Paid,21.0,,0
1436323,18000,18.99,74000.0,Current,9.0,0.0,0
542559,40000,14.49,110000.0,Current,25.0,0.0,0
820565,28000,7.49,300000.0,Late (31-120 days),19.0,0.0,0
1974706,28250,24.5,234000.0,Charged Off,14.0,,0
772626,6000,12.99,43000.0,Fully Paid,7.0,1.0,0
1320597,23000,12.39,80000.0,Fully Paid,5.0,,0
2044394,7200,8.9,92000.0,Fully Paid,10.0,,0
1803563,30000,16.29,85000.0,Fully Paid,12.0,,0
651558,21000,7.39,105000.0,Current,13.0,1.0,0
1689088,16000,7.9,100000.0,Fully Paid,26.0,,0
481302,36000,11.99,98550.0,Late (31-120 days),11.0,0.0,0
923194,15000,12.79,100000.0,Fully Paid,19.0,3.0,0
1357628,5250,13.49,220000.0,Fully Paid,10.0,0.0,0
557048,12000,8.99,150000.0,Current,5.0,0.0,0
1237304,24600,19.52,70000.0,Fully Paid,6.0,,0
267383,35000,12.13,102000.0,Current,18.0,2.0,0
2030524,8000,7.9,86000.0,Fully Paid,18.0,,0
2006439,24075,6.03,99100.0,Fully Paid,8.0,,0
752138,5000,8.39,53000.0,Current,13.0,1.0,0
467480,9600,5.32,111800.0,Fully Paid,14.0,1.0,0
2010703,19750,18.24,52000.0,Charged Off,33.0,,0
54929,25000,15.02,78000.0,Current,11.0,0.0,0
2231650,17000,9.93,124000.0,Current,14.0,0.0,0
451813,15000,7.97,90000.0,Fully Paid,19.0,1.0,0
777626,15600,10.75,110000.0,Charged Off,6.0,1.0,0
674278,10000,9.16,27600.0,Fully Paid,10.0,0.0,0
1258925,15000,17.86,45000.0,Charged Off,14.0,,0
1229432,35000,23.99,94100.0,Charged Off,26.0,,0
56044,40000,8.19,89730.0,Current,14.0,0.0,0
243860,12000,7.84,249000.0,Current,12.0,1.0,0
1615365,6000,16.02,25000.0,Current,11.0,0.0,0
527835,10125,15.59,100800.0,Fully Paid,7.0,1.0,0
2046432,16800,12.49,100000.0,Fully Paid,6.0,,0
2110805,12000,13.49,116000.0,Fully Paid,14.0,,0
719546,3600,16.29,15852.0,Fully Paid,7.0,1.0,0
1603570,35000,7.21,235000.0,Fully Paid,18.0,1.0,0
2010417,3000,16.99,45000.0,Fully Paid,10.0,,0
472627,28000,10.42,85000.0,Current,15.0,0.0,0
165652,40000,13.56,65000.0,Late (31-120 days),11.0,0.0,0
410696,40000,11.98,160000.0,In Grace Period,11.0,0.0,0
923015,20000,18.99,85000.0,Fully Paid,15.0,2.0,0
1396875,20000,11.44,91000.0,Charged Off,12.0,0.0,0
433536,15000,9.93,30000.0,Current,8.0,1.0,0
1365961,10000,11.49,65000.0,Current,6.0,1.0,0
1810532,35000,19.72,140000.0,Fully Paid,15.0,,0
1968821,16000,6.03,110000.0,Fully Paid,19.0,,0
1712691,7375,17.76,32266.0,Fully Paid,11.0,,0
1218755,12000,16.55,53000.0,Fully Paid,7.0,,0
1210163,4000,11.53,800000.0,Fully Paid,19.0,,0
1738695,14400,15.22,63000.0,Fully Paid,9.0,,0
209303,19250,22.35,42000.0,Current,19.0,0.0,0
1142853,6700,17.86,30000.0,Fully Paid,7.0,,0
498011,3200,21.49,58000.0,Fully Paid,15.0,1.0,0
2221041,8400,17.09,45000.0,Late (31-120 days),8.0,0.0,0
2156495,12800,16.02,34000.0,Charged Off,3.0,0.0,0
755468,15000,9.16,124000.0,Current,20.0,0.0,0
1207931,35000,18.55,110000.0,Charged Off,17.0,,0
1754479,5000,11.55,30000.0,Fully Paid,5.0,,0
1361286,35000,22.74,74800.0,Current,15.0,0.0,0
1403063,10200,10.49,50000.0,Current,6.0,1.0,0
50621,20000,16.14,60000.0,Current,9.0,2.0,0
1399844,14000,16.99,37995.3,Current,9.0,0.0,0
1675201,20000,19.99,72000.0,Current,9.0,0.0,0
897694,4800,7.49,64000.0,Fully Paid,10.0,0.0,0
1562526,6000,15.05,57000.0,Current,19.0,1.0,0
210512,35000,16.91,150000.0,Current,12.0,0.0,0
1927133,8000,7.69,36000.0,Fully Paid,5.0,,0
1181924,21600,8.18,280000.0,Fully Paid,12.0,,0
628661,3250,18.25,9600.0,Current,4.0,0.0,0
1120325,8000,5.32,55000.0,Fully Paid,19.0,,0
122244,10000,7.21,70000.0,Fully Paid,25.0,0.0,0
561506,16000,14.49,70000.0,Current,5.0,1.0,0
341251,35000,12.61,13000.0,Current,1.0,0.0,0
999551,25000,16.55,65000.0,Charged Off,13.0,,0
178482,9500,11.06,55000.0,Current,13.0,1.0,0
1898676,10000,12.49,75000.0,Charged Off,16.0,,0
838723,10000,15.99,42000.0,Fully Paid,6.0,1.0,0
1054649,9600,9.17,45000.0,Fully Paid,10.0,,0
736311,12000,8.39,85000.0,Current,9.0,1.0,0
2163765,12500,10.42,85000.0,Current,13.0,1.0,0
919941,4850,10.99,19500.0,Charged Off,7.0,0.0,0
2060058,16000,7.62,95000.0,Fully Paid,8.0,,0
2025051,14300,9.17,70000.0,Fully Paid,12.0,,0
2029417,18000,10.99,236000.0,Fully Paid,17.0,,0
1389097,9000,15.99,77000.0,Current,15.0,1.0,0
683812,8000,15.31,73772.0,Current,5.0,0.0,0
2232429,15000,5.32,90000.0,Current,7.0,0.0,0
269866,18000,7.46,110000.0,Current,18.0,0.0,0
61605,30000,11.8,150000.0,Current,5.0,0.0,0
2123235,4000,6.91,35000.0,Fully Paid,5.0,,0
1732966,10000,18.25,500000.0,Fully Paid,11.0,,0
1892077,10800,11.99,50000.0,Fully Paid,8.0,,0
1057580,30000,19.19,60000.0,Charged Off,14.0,,0
136785,28000,19.92,71976.0,Fully Paid,14.0,1.0,0
56869,12000,15.02,98000.0,Current,21.0,0.0,0
574219,18000,21.49,47838.0,Current,2.0,0.0,0
1390230,15000,10.49,160000.0,Current,12.0,1.0,0
287818,16000,9.58,60000.0,Current,14.0,1.0,0
1608679,16000,7.35,100000.0,Current,11.0,4.0,0
514602,9600,15.59,55000.0,Current,11.0,1.0,0
1987383,18000,13.98,65000.0,Fully Paid,13.0,,0
2023921,23200,14.49,58000.0,Fully Paid,16.0,,0
1402900,15000,17.99,67000.0,Current,18.0,0.0,0
2014551,10000,13.35,64357.0,Fully Paid,4.0,,0
1678954,35000,14.98,100000.0,Fully Paid,8.0,,0
1641816,3000,11.49,38050.0,Current,13.0,1.0,0
572979,18000,11.49,72880.0,Fully Paid,23.0,0.0,0
2015721,30000,24.08,80000.0,Fully Paid,8.0,,0
221427,6500,13.56,200000.0,Current,28.0,0.0,0
1321618,12950,13.66,40000.0,Fully Paid,11.0,,0
1710419,16000,12.99,100000.0,Fully Paid,10.0,,0
913492,20000,14.49,52500.0,Current,18.0,0.0,0
1813608,8400,18.49,41000.0,Fully Paid,7.0,,0
1889704,10000,14.31,53000.0,Fully Paid,5.0,,0
1120478,15000,10.99,45348.0,Fully Paid,7.0,,0
2181106,10000,10.42,45000.0,Current,9.0,1.0,0
956757,25000,7.89,83900.0,Fully Paid,15.0,,0
873340,35000,8.24,180000.0,Current,14.0,0.0,0
1478161,10000,30.79,65000.0,Fully Paid,12.0,2.0,0
1897622,19050,25.8,85000.0,Charged Off,5.0,,0
736738,32000,23.13,105000.0,Fully Paid,10.0,2.0,0
1730786,16000,15.88,95000.0,Fully Paid,14.0,,0
41051,30000,15.02,220000.0,Current,19.0,3.0,0
2052450,10000,12.99,47200.0,Charged Off,5.0,,0
25968,8800,8.81,0.0,Current,13.0,1.0,0
1764582,12000,14.33,46000.0,Fully Paid,19.0,,0
1522709,6000,13.59,32830.0,Current,11.0,0.0,0
2185698,6000,10.42,140000.0,Fully Paid,11.0,0.0,0
811622,30000,13.44,60000.0,Charged Off,15.0,1.0,0
577028,15000,7.59,80000.0,Current,7.0,0.0,0
1746124,9600,12.35,95000.0,Fully Paid,9.0,,0
1230496,4200,12.29,90000.0,Fully Paid,13.0,,0
383722,25000,20.39,52000.0,Current,13.0,0.0,0
983433,28000,7.89,300000.0,Current,12.0,,0
1187919,10000,13.33,44400.0,Fully Paid,9.0,,0
131200,8000,15.02,27000.0,Current,5.0,0.0,0
1417232,3500,6.99,37000.0,Current,9.0,0.0,0
217073,5200,19.92,54000.0,Current,12.0,1.0,0
1245222,8000,13.33,60000.0,Charged Off,20.0,,0
2136559,10000,12.84,132000.0,Fully Paid,10.0,,0
266549,12000,9.58,65000.0,Current,5.0,0.0,0
960751,10000,13.67,99000.0,Current,3.0,,0
1308271,25000,10.49,88000.0,Fully Paid,8.0,,0
1316316,5000,15.59,40000.0,Fully Paid,3.0,,0
1580236,15000,16.02,175000.0,Current,15.0,1.0,0
1730912,26500,12.35,60000.0,Fully Paid,14.0,,0
597984,18000,11.49,300000.0,Fully Paid,12.0,3.0,0
577960,4800,13.99,51000.0,Charged Off,5.0,0.0,0
1360120,16000,18.99,85000.0,Current,9.0,1.0,0
1699199,10000,6.62,80000.0,Fully Paid,9.0,,0
1982259,18000,8.39,50000.0,Fully Paid,15.0,,0
935516,30000,13.44,104000.0,Fully Paid,7.0,0.0,0
242684,16800,11.55,50000.0,Current,17.0,0.0,0
1316735,30000,15.99,110000.0,Fully Paid,10.0,,0
841020,4000,11.39,75000.0,Current,9.0,1.0,0
1901336,10000,7.69,98000.0,Fully Paid,8.0,,0
934896,1600,13.44,52000.0,Fully Paid,3.0,1.0,0
2199958,7000,6.72,45000.0,Current,7.0,0.0,0
1878119,14725,17.14,37000.0,Charged Off,18.0,,0
1666249,28000,11.49,107000.0,Charged Off,16.0,2.0,0
948835,10000,17.57,60404.0,Charged Off,9.0,1.0,0
462797,1200,14.08,25000.0,Current,16.0,0.0,0
2181568,10500,5.32,156000.0,Current,11.0,0.0,0
1185869,9600,6.89,72000.0,Fully Paid,17.0,,0
1849267,12000,6.03,70000.0,Fully Paid,9.0,,0
895799,24000,8.99,124000.0,In Grace Period,8.0,0.0,0
1996349,7500,12.49,52000.0,Fully Paid,13.0,,0
388925,7600,7.96,35000.0,Current,3.0,0.0,0
53500,4000,23.4,32000.0,Current,9.0,0.0,0
1168835,2000,9.17,129000.0,Fully Paid,11.0,,0
630714,30000,13.67,150000.0,Current,7.0,1.0,0
945236,20350,14.48,57000.0,Current,11.0,1.0,0
770121,20000,10.75,150000.0,Fully Paid,16.0,2.0,0
1357687,24500,7.49,112000.0,Current,13.0,1.0,0
1957723,3000,11.67,34000.0,Fully Paid,8.0,,0
487285,15000,14.08,150000.0,Fully Paid,7.0,0.0,0
305,10000,10.33,65000.0,Current,11.0,1.0,0
659933,10000,10.75,42000.0,Charged Off,6.0,0.0,0
273559,10000,13.06,172000.0,Current,16.0,2.0,0
1472032,30000,16.02,50900.0,Current,8.0,0.0,0
1413153,9200,13.99,53000.0,Current,10.0,1.0,0
533370,5000,8.99,56000.0,Current,6.0,2.0,0
892406,20000,11.39,99000.0,Fully Paid,7.0,1.0,0
169910,15000,6.67,200000.0,Current,28.0,1.0,0
2203864,18875,12.62,50000.0,Current,6.0,0.0,0
1945075,30375,20.99,80000.0,Fully Paid,16.0,,0
1167622,30000,6.89,107000.0,Fully Paid,19.0,,0
1772305,8400,13.11,91939.0,Fully Paid,9.0,,0
1295432,24000,8.18,115000.0,Current,13.0,,0
1793499,35000,17.77,108000.0,Fully Paid,25.0,,0
792017,15000,8.49,150000.0,Charged Off,17.0,1.0,0
1656354,3000,11.44,59404.8,Fully Paid,8.0,0.0,0
1507702,15000,5.32,80000.0,Current,12.0,0.0,0
994886,20000,9.99,95000.0,Fully Paid,9.0,,0
1831202,15550,13.11,80000.0,Fully Paid,9.0,,0
354858,10000,11.98,55000.0,Current,7.0,1.0,0
357079,10000,9.92,48000.0,Current,10.0,1.0,0
1339513,9000,10.49,28000.0,Charged Off,7.0,,0
2140621,8000,12.53,55000.0,Does not meet the credit policy. Status:Charged Off,8.0,,1
1394143,7000,11.49,135000.0,Fully Paid,9.0,1.0,0
1878791,2000,8.67,90000.0,Charged Off,5.0,,0
639185,7200,7.39,54000.0,Current,15.0,0.0,0
309746,10000,5.31,135000.0,Current,15.0,0.0,0
618226,12000,11.47,56000.0,Charged Off,16.0,1.0,0
322187,10850,17.47,92000.0,Current,11.0,2.0,0
374805,10600,21.85,40000.0,Current,12.0,1.0,0
530122,12000,5.32,177000.0,Current,14.0,1.0,0
1319040,10000,6.99,38000.0,Fully Paid,14.0,,0
535521,13200,17.99,60000.0,Fully Paid,8.0,2.0,0
941644,35000,11.99,250000.0,Fully Paid,3.0,0.0,0
1645362,9500,7.99,80000.0,Current,12.0,0.0,0
1302912,18000,9.17,237561.0,Current,13.0,,0
970296,16800,11.99,100000.0,Current,5.0,,0
2239073,4000,13.59,60000.0,Current,7.0,0.0,0
1822020,17150,18.75,45000.0,Fully Paid,20.0,,0
1130887,20000,18.25,75000.0,Current,8.0,,0
559524,24000,10.49,96000.0,Current,15.0,0.0,0
1926626,23250,19.52,64697.0,Charged Off,8.0,,0
88069,10000,6.11,45000.0,Current,23.0,0.0,0
1165181,1000,9.17,130000.0,Fully Paid,14.0,,0
1580849,35000,9.93,75500.0,Current,11.0,1.0,0
757939,17000,7.89,95000.0,Fully Paid,17.0,1.0,0
1930477,1000,13.98,58000.0,Fully Paid,4.0,,0
2037948,28000,13.65,74300.0,Fully Paid,20.0,,0
1717476,11200,11.99,32000.0,Fully Paid,9.0,,0
708297,5600,11.99,56000.0,Charged Off,7.0,1.0,0
2092121,22000,6.03,57500.0,Fully Paid,13.0,,0
1271260,28000,15.61,84000.0,Fully Paid,21.0,,0
227812,35000,8.46,150000.0,Current,30.0,4.0,0
1910003,6000,14.49,67000.0,Fully Paid,14.0,,0
1018722,4800,13.33,40000.0,Charged Off,21.0,,0
1189086,8000,16.55,49500.0,Fully Paid,11.0,,0
1269856,6000,12.29,55000.0,Fully Paid,12.0,,0
405075,5000,6.07,70000.0,Current,5.0,1.0,0
1608246,30000,11.99,85200.0,Current,12.0,0.0,0
1059336,28000,7.26,197000.0,Fully Paid,14.0,,0
1603209,11000,7.35,65000.0,Fully Paid,7.0,1.0,0
685659,6000,7.39,40000.0,Fully Paid,6.0,0.0,0
322093,5000,11.05,62000.0,Current,22.0,1.0,0
1118097,11000,18.25,54000.0,Fully Paid,12.0,,0
2020945,21750,15.61,52000.0,Charged Off,18.0,,0
1296525,11000,6.92,62000.0,Fully Paid,12.0,,0
1529708,33000,14.08,66000.0,Current,28.0,0.0,0
808966,35000,13.99,146500.0,Fully Paid,12.0,1.0,0
791605,15175,9.8,49000.0,Current,8.0,1.0,0
736026,3200,15.31,50000.0,Current,9.0,0.0,0
907140,20000,8.24,102000.0,Fully Paid,12.0,0.0,0
1859376,10000,13.11,145000.0,Fully Paid,9.0,,0
411276,36000,6.71,180000.0,Current,18.0,0.0,0
2196885,40000,9.44,201096.0,Fully Paid,10.0,1.0,0
2220474,26700,14.08,90000.0,Current,11.0,0.0,0
643617,4800,23.99,100500.0,Fully Paid,11.0,5.0,0
652586,5000,16.29,39000.0,Fully Paid,7.0,1.0,0
2161504,9600,10.42,52000.0,Current,11.0,1.0,0
1184757,8000,14.65,110000.0,Charged Off,4.0,,0
1690364,20000,12.99,60000.0,Fully Paid,11.0,,0
340130,35000,17.47,600000.0,Late (31-120 days),11.0,1.0,0
437902,15000,20.0,55000.0,Current,12.0,0.0,0
2193496,12000,21.45,54000.0,Current,15.0,0.0,0
825139,11000,14.85,48000.0,Fully Paid,11.0,3.0,0
1149734,35000,9.17,200000.0,Fully Paid,11.0,,0
817502,30500,13.44,140000.0,Fully Paid,11.0,3.0,0
598815,14550,14.49,45500.0,Charged Off,11.0,1.0,0
1033159,14000,10.99,110000.0,Fully Paid,9.0,,0
571758,14775,15.59,45000.0,Current,5.0,0.0,0
125609,4050,10.47,30000.0,Current,13.0,3.0,0
629005,9000,19.99,42885.0,Current,9.0,1.0,0
2194363,10000,16.02,58000.0,Current,4.0,0.0,0
1233587,35000,15.61,98000.0,Current,14.0,,0
1195474,3300,12.29,53000.0,Fully Paid,8.0,,0
1726719,21250,24.08,80000.0,Charged Off,20.0,,0
1093254,16000,10.99,72000.0,Current,11.0,,0
608833,30000,11.47,220000.0,Charged Off,12.0,1.0,0
1701672,20000,13.67,60000.0,Charged Off,7.0,,0
1836656,10000,10.16,38707.0,Fully Paid,16.0,,0
1645240,12000,11.39,65000.0,Current,8.0,0.0,0
1666301,10000,11.44,50292.0,Charged Off,17.0,0.0,0
147152,10000,10.08,190000.0,Current,9.0,1.0,0
1656486,21000,7.99,60000.0,Fully Paid,11.0,0.0,0
1939393,22000,7.69,98000.0,Fully Paid,10.0,,0
1981670,6000,12.49,20000.0,Fully Paid,8.0,,0
303605,9000,15.49,50000.0,Current,21.0,0.0,0
1941926,15000,12.49,85000.0,Fully Paid,21.0,,0
1594470,10000,23.88,25000.0,Current,10.0,1.0,0
1147663,15000,9.17,83000.0,Fully Paid,18.0,,0
688607,10000,11.47,56375.0,Charged Off,13.0,1.0,0
1201356,17500,5.32,193200.0,Fully Paid,16.0,,0
1238000,3600,10.99,20800.0,Fully Paid,5.0,,0
103823,30000,11.06,64000.0,Current,5.0,0.0,0
1513434,6400,20.0,40000.0,Fully Paid,12.0,1.0,0
527418,1000,19.99,38400.0,Fully Paid,4.0,0.0,0
639251,20000,6.49,76000.0,Fully Paid,13.0,0.0,0
1527375,8000,11.99,57000.0,Fully Paid,10.0,1.0,0
1587734,5000,9.44,53500.0,Fully Paid,5.0,0.0,0
1299430,17000,13.99,63000.0,Fully Paid,16.0,,0
1397051,18000,11.49,54000.0,Fully Paid,7.0,0.0,0
829788,28000,13.49,100000.0,Current,9.0,0.0,0
1676530,15000,17.57,81000.0,Charged Off,8.0,,0
1380260,30000,17.99,65000.0,Fully Paid,8.0,0.0,0
1880617,35000,25.57,120000.0,Fully Paid,11.0,,0
823246,12000,10.78,42000.0,Fully Paid,8.0,0.0,0
225139,9600,14.47,51383.0,Current,9.0,1.0,0
2028857,22400,12.99,160000.0,Fully Paid,11.0,,0
1902427,6500,8.39,101000.0,Fully Paid,16.0,,0
1075387,12525,19.99,35500.0,Late (31-120 days),10.0,,0
252192,3925,27.27,110000.0,Fully Paid,7.0,1.0,0
1501396,14000,11.99,59000.0,Fully Paid,15.0,0.0,0
165961,3025,13.56,29060.0,Current,8.0,1.0,0
533717,23000,15.59,135000.0,Fully Paid,13.0,0.0,0
1100346,20000,16.55,66000.0,Charged Off,9.0,,0
868912,7000,8.24,80000.0,Fully Paid,10.0,1.0,0
1229444,20800,6.39,59000.0,Fully Paid,11.0,,0
397425,12800,10.41,50000.0,Current,10.0,0.0,0
771664,10400,15.31,60000.0,Fully Paid,15.0,2.0,0
126897,18000,12.73,125000.0,Current,11.0,1.0,0
939745,14575,18.2,65000.0,Charged Off,21.0,0.0,0
326241,10000,6.19,37000.0,Current,13.0,0.0,0
1871844,35000,8.19,100000.0,Fully Paid,8.0,,0
1925172,15000,8.39,78000.0,Fully Paid,11.0,,0
1342485,10000,6.99,60000.0,Fully Paid,16.0,,0
62230,2500,8.81,32000.0,Current,4.0,0.0,0
795418,10000,9.17,125000.0,Fully Paid,6.0,1.0,0
1665851,35000,13.99,110000.0,Fully Paid,13.0,1.0,0
719629,3000,13.67,45000.0,Current,8.0,0.0,0
2047237,18000,7.9,81000.0,Fully Paid,12.0,,0
2221302,35000,9.44,67000.0,Charged Off,6.0,0.0,0
1816397,20000,23.83,64000.0,Charged Off,9.0,,0
1837453,5200,15.31,59500.0,Fully Paid,9.0,,0
755307,10000,10.75,48000.0,Fully Paid,15.0,0.0,0
2041181,35000,15.31,515000.0,Fully Paid,2.0,,0
786188,13600,17.27,68000.0,Fully Paid,14.0,1.0,0
917064,12000,10.99,93500.0,Current,23.0,0.0,0
1232628,7000,6.39,107000.0,Fully Paid,15.0,,0
1159426,8000,12.29,64000.0,Fully Paid,12.0,,0
47284,18000,10.33,65000.0,Current,8.0,0.0,0
1380101,2400,7.24,44400.0,Fully Paid,24.0,2.0,0
1148049,12000,18.55,42000.0,Fully Paid,9.0,,0
712655,20000,6.97,85000.0,Fully Paid,10.0,0.0,0
743747,4150,6.97,104000.0,Fully Paid,17.0,0.0,0
1606025,30000,10.42,165000.0,Fully Paid,8.0,2.0,0
1165082,5000,13.99,40000.0,Charged Off,12.0,,0
1385330,21000,5.32,120000.0,Current,5.0,0.0,0
1007861,30000,14.33,82000.0,Current,20.0,,0
1502407,11000,11.99,65000.0,Current,16.0,0.0,0
615020,20000,7.39,68000.0,Charged Off,10.0,0.0,0
2186643,21650,10.91,70000.0,Current,10.0,0.0,0
1903281,16000,14.49,150000.0,Charged Off,7.0,,0
227682,10000,11.55,60000.0,Current,10.0,1.0,0
460888,11200,19.03,132000.0,Fully Paid,5.0,1.0,0
2069189,19500,18.92,53820.0,Charged Off,8.0,,0
1105475,6550,17.57,72500.0,Charged Off,13.0,,0
202352,20000,10.47,95000.0,Current,12.0,0.0,0
648425,12000,11.99,110000.0,Fully Paid,15.0,1.0,0
746108,26550,21.18,66400.0,Charged Off,10.0,1.0,0
24261,20000,7.02,150000.0,Current,12.0,0.0,0
929275,19475,24.49,46402.0,Late (31-120 days),8.0,5.0,0
5125,15000,7.02,32000.0,Current,5.0,0.0,0
921806,13600,25.29,68000.0,Fully Paid,9.0,3.0,0
1790992,9450,18.49,27000.0,Charged Off,8.0,,0
1540780,21850,16.02,108000.0,Fully Paid,13.0,1.0,0
2178032,40000,10.42,400000.0,Current,18.0,0.0,0
473806,20000,6.72,80000.0,Fully Paid,9.0,0.0,0
1007380,16000,15.41,45000.0,Current,23.0,,0
713517,30000,15.31,135000.0,Current,19.0,2.0,0
326703,15000,13.06,48000.0,Current,11.0,1.0,0
1636870,9800,12.74,33000.0,Current,13.0,0.0,0
1692428,12000,14.3,122000.0,Charged Off,11.0,,0
406627,40000,11.98,80000.0,Current,6.0,0.0,0
182074,15000,10.47,67500.0,Current,15.0,0.0,0
1438676,7000,17.99,25000.0,Fully Paid,3.0,1.0,0
1285734,9000,12.29,80000.0,Fully Paid,10.0,,0
2010223,11700,16.29,59340.8,Fully Paid,8.0,,0
1199560,5900,9.99,28000.0,Charged Off,10.0,,0
158848,1200,13.56,38000.0,Current,6.0,0.0,0
42313,30000,20.89,100000.0,Current,9.0,3.0,0
1861007,35000,11.71,210000.0,Fully Paid,11.0,,0
817276,28000,18.99,76000.0,Fully Paid,14.0,0.0,0
1408406,35000,11.49,130000.0,Current,15.0,0.0,0
382592,7500,19.42,36000.0,Current,8.0,1.0,0
992233,25000,13.67,58000.0,Fully Paid,11.0,,0
2011598,10000,13.35,49000.0,Fully Paid,11.0,,0
734251,4000,9.16,60000.0,Charged Off,9.0,0.0,0
1794181,7000,10.16,52000.0,Fully Paid,7.0,,0
793230,12000,8.49,85700.0,Fully Paid,11.0,1.0,0
1251249,8000,6.92,40000.0,Fully Paid,10.0,,0
295791,9600,17.47,30000.0,Current,14.0,1.0,0
380556,25000,10.9,90000.0,Fully Paid,8.0,1.0,0
2189554,15000,17.09,95000.0,Current,5.0,0.0,0
579923,34800,18.99,76500.0,Charged Off,9.0,0.0,0
1614167,20000,9.44,76800.0,Current,8.0,2.0,0
740466,28000,5.32,100000.0,Current,8.0,1.0,0
1672565,14500,13.99,32966.0,Current,13.0,1.0,0
1190915,18000,15.61,83000.0,Fully Paid,12.0,,0
169766,10000,15.02,39000.0,Current,10.0,0.0,0
658761,35000,27.34,105000.0,Charged Off,10.0,1.0,0
835950,3000,7.24,85000.0,Fully Paid,14.0,1.0,0
790900,20000,24.11,84000.0,Fully Paid,7.0,1.0,0
1814473,4125,18.49,32000.0,Fully Paid,10.0,,0
225206,6100,10.47,60000.0,Current,8.0,0.0,0
495146,35000,21.45,125000.0,Late (31-120 days),14.0,0.0,0
1128228,9600,8.18,40000.0,Fully Paid,9.0,,0
539025,4000,8.59,80000.0,Current,8.0,0.0,0
1234850,10000,12.29,48000.0,Fully Paid,11.0,,0
1010979,6000,12.69,42500.0,Charged Off,7.0,,0
15982,19200,12.98,85000.0,Current,12.0,0.0,0
783051,20000,13.67,80000.0,Current,9.0,0.0,0
485683,30000,9.44,90000.0,Charged Off,8.0,0.0,0
1685821,11200,6.03,90000.0,Fully Paid,12.0,,0
2115218,11200,10.99,132000.0,Fully Paid,8.0,,0
1432736,12000,10.49,65000.0,Fully Paid,4.0,0.0,0
1775143,8500,10.16,35194.0,Fully Paid,13.0,,0
276205,24000,14.03,200000.0,Current,8.0,0.0,0
208213,8000,12.73,95000.0,Current,17.0,1.0,0
776130,25000,9.16,100000.0,Current,11.0,0.0,0
262606,8000,7.46,45000.0,Current,18.0,2.0,0
401912,15000,13.58,65000.0,Current,16.0,0.0,0
2039639,15000,13.65,85000.0,Fully Paid,6.0,,0
1456007,6025,11.99,23000.0,Current,6.0,0.0,0
1173354,16000,13.33,64000.0,Fully Paid,30.0,,0
36829,35000,17.97,100000.0,Current,12.0,3.0,0
682331,24000,8.39,160000.0,Charged Off,12.0,2.0,0
168927,8400,13.56,54600.0,Fully Paid,12.0,1.0,0
1891641,9600,10.49,55000.0,Fully Paid,15.0,,0
804613,15000,18.99,48000.0,Fully Paid,13.0,0.0,0
2114516,27050,15.62,73200.0,Fully Paid,21.0,,0
391276,35000,6.07,60000.0,Current,12.0,0.0,0
572267,9600,8.59,50000.0,Current,8.0,1.0,0
600230,30000,11.49,180000.0,Fully Paid,6.0,1.0,0
2049966,5000,13.65,99049.56,Fully Paid,10.0,,0
1845079,4375,13.11,35700.0,Fully Paid,9.0,,0
951930,10000,13.67,52000.0,Charged Off,5.0,,0
1406542,24000,13.49,89000.0,Current,11.0,0.0,0
691869,10800,28.99,30000.0,Fully Paid,18.0,1.0,0
971107,8000,5.32,55000.0,Fully Paid,11.0,,0
1850710,21000,12.12,68000.0,Fully Paid,3.0,,0
469862,16000,6.72,95000.0,Current,11.0,0.0,0
1893712,35000,12.99,104000.0,Fully Paid,9.0,,0
2169207,6000,10.91,95000.0,Current,15.0,2.0,0
1055660,8400,11.53,38000.0,Charged Off,6.0,,0
2217676,16000,11.99,60000.0,Current,8.0,0.0,0
838725,14000,11.49,160000.0,Current,10.0,2.0,0
110534,16000,13.56,20000.0,Current,12.0,0.0,0
1212231,7675,6.39,23000.0,Fully Paid,5.0,,0
952817,4725,15.41,59000.0,Fully Paid,14.0,,0
2006799,15000,12.49,79500.0,Fully Paid,10.0,,0
2241599,20000,12.62,50000.0,Fully Paid,19.0,2.0,0
1721142,19200,24.08,80000.0,Charged Off,12.0,,0
1625665,24000,11.44,87000.0,Current,11.0,0.0,0
2153227,15000,20.0,42000.0,Current,7.0,0.0,0
1815494,33425,18.49,75000.0,Fully Paid,9.0,,0
1144422,10000,15.61,31000.0,Fully Paid,17.0,,0
2207168,6000,7.35,23000.0,Fully Paid,23.0,0.0,0
